url_length,special_char_count,has_https,contains_suspicious_words,directory_count,repeated_char_count,contains_at_symbol,query_param_count,subdomain_count,has_ip,uses_shortener,shannon_entropy,relative_entropy,status
96,14,False,False,7,0,False,1,2,False,False,3.546439344671015,1.6624858300247243,1
29,7,False,False,3,1,False,0,3,False,False,3.522571589136359,2.4486020875404217,0
158,22,False,False,7,0,False,2,2,False,False,4.147850219462241,0.7161794835808276,1
31,5,False,False,2,0,False,0,2,False,False,3.772055208874201,1.2972071428096887,1
49,8,False,False,4,1,False,0,2,False,False,3.6818808028034016,1.9089455092727636,1
29,7,False,False,3,1,False,0,3,False,False,3.5225715891363594,2.696304512227386,0
67,13,True,False,4,0,False,0,2,False,False,3.3248629576173574,2.48915276398798,1
23,6,False,False,3,1,False,0,2,False,False,3.006238928653389,3.315296277535302,0
58,11,False,False,3,1,False,0,2,False,False,2.732914563979398,3.5343317824625524,0
115,14,False,True,6,1,False,0,2,False,False,3.4817145729860726,2.1603821215647727,1
141,9,True,False,5,0,False,0,2,False,False,4.0957136787344055,2.685463947607087,1
56,11,False,False,6,0,False,0,1,False,False,3.4992275471326932,1.399961477323501,0
16,4,False,False,2,0,False,0,1,False,False,3.169925001442312,2.0086889854807652,0
24,6,True,False,3,1,False,0,2,False,False,3.32323142879762,3.0648509389961687,0
113,16,False,True,6,0,False,0,2,False,False,3.990705473685233,1.1938705837400678,1
37,5,False,False,3,0,False,0,1,False,False,3.169925001442312,2.2142914965109113,1
27,7,False,False,3,1,False,0,2,False,False,3.576617644908665,1.99772515150453,0
219,38,False,False,29,0,False,0,2,False,False,3.350209029099897,2.045453187537535,1
33,6,False,False,3,0,False,0,2,False,False,4.0536606896881855,1.1673398879220318,1
31,8,False,False,5,0,False,0,1,False,False,3.3927474104487847,1.4186381270821635,1
47,6,False,False,3,0,False,0,2,False,False,4.006573937300012,0.8280319103228401,1
29,6,True,False,3,0,False,0,1,False,False,3.027169118440619,2.126051592526984,0
37,8,True,True,3,0,False,0,4,False,False,3.655045546825804,2.058721733724615,1
36,6,True,False,3,1,False,0,2,False,False,3.7821222241453065,1.5432718236909988,0
84,13,False,False,7,0,False,0,1,False,False,3.3927474104487847,1.3436787746795695,1
31,4,False,False,2,0,False,0,1,False,False,3.6887218755408675,0.948428766997158,0
42,9,False,False,3,0,False,0,3,False,False,3.917626443873359,1.297873913221376,1
73,12,False,False,8,1,False,0,2,False,False,3.7183093602234187,1.1584486444071462,1
38,6,False,False,3,0,False,0,2,False,False,3.6800893536948074,1.3293499726603017,0
54,10,False,False,4,1,False,1,2,False,False,3.155221528859512,2.4165631149242834,0
34,7,True,False,3,1,False,0,2,False,False,3.6732696895151076,1.50304375213101,0
76,15,True,False,5,0,False,0,2,False,False,3.327819531114783,2.1818557158818024,0
35,7,False,False,4,1,False,0,2,False,False,3.350209029099897,2.240407994726095,1
35,8,True,False,4,0,False,0,1,False,False,3.418295834054489,2.0416537478077834,1
23,5,False,False,2,0,False,0,2,False,False,3.25,2.392826660817974,0
49,9,False,False,4,1,False,0,2,False,False,3.6841837197791887,1.8488784722133733,0
